"","Identifiant","Date (AAAA/MM/JJ)","Heure","Intensité épicentrale","Qualité intensité épicentrale","Nom","Région épicentrale","Choc"
"","380035","1878/06/24","9 h 18 min","6","B","BAS-PLATEAUX DAUPHINOIS (MORAS-EN-VALLOIRE)","DAUPHINE",""
"","690025","1878/06/24","9 h 12 min","6","C","MONTS DU LYONNAIS (L'ARBRESLE ?)","FOREZ-LYONNAIS",""
"","850013","1878/08/22","1 h 22 min","4","B","BOCAGE VENDEEN (BEAUFOU)","PAYS NANTAIS ET VENDEEN",""
"","1110104","1878/08/26","8 h 50 min","7.5","B","HAUTES-FAGNES (DUREN)","ALLEMAGNE",""
"","30005","1879/03/27","","5","C","COMBRAILLE (MONTMARAULT)","BOURBONNAIS",""
"","690013","1879/09/09","7 h 50 min","6","C","PLATEAU DE CREMIEU (CREMIEU)","DAUPHINE",""
"","380120","1879/09/09","7 h 35 min","3","I","PLATEAU DE CREMIEU (CREMIEU)","DAUPHINE","PRECURSEUR"
"","740038","1879/09/27","4 h","3.5","I","AVANT-PAYS SAVOYARD (ANNECY)","ALPES SAVOYARDES","GROUPE DE SECOUSSES D UN ESSAIM"
"","740040","1879/12/30","12 h 27 min","7","B","CHABLAIS (ST-JEAN-D'AULPS)","ALPES SAVOYARDES",""
"","740042","1879/12/30","20 h 10 min","5.5","E","CHABLAIS (ST-JEAN-D'AULPS)","ALPES SAVOYARDES","REPLIQUE"
"","40175","1880/01/16","23 h 55 min","4.5","I","MOYENNE-DURANCE (MANOSQUE)","ALPES PROVENCALES",""
"","1110049","1880/01/24","19 h 41 min","6","B","VALLEE DU RHIN (KARLSRUHE)","ALLEMAGNE",""
"","640265","1880/01/27","18 h 7 min","5","I","PAYS BASQUE (BAIGORRY)","PYRENEES OCCIDENTALES",""
"","1150087","1880/03/10","23 h 58 min","4","C","GUERNSEY","ILES ANGLO-NORMANDES",""
"","1150088","1880/03/14","23 h","3","I","JERSEY","ILES ANGLO-NORMANDES",""
"","860015","1880/03/22","18 h 5 min","5","B","CHATELLERAUDAIS (CHATELLERAULT)","POITOU",""
"","850064","1880/04/17","21 h","4","I","BOCAGE VENDEEN (MENOMBLET)","PAYS NANTAIS ET VENDEEN",""
"","1150122","1880/06/27","21 h","3","I","SURREY (CAPEL)","GRANDE-BRETAGNE",""
"","10028","1880/06/28","3 h 7 min","5.5","C","LAC LEMAN (NYON)","SUISSE",""
"","1120279","1880/06/28","2 h 30 min","4","I","LAC LEMAN (NYON)","SUISSE","REPLIQUE"
"","1120012","1880/07/04","9 h 20 min","7","B","VALAIS (VISP)","SUISSE",""
"","1120309","1880/09/03","6 h 15 min","5","I","VALAIS (ZERMATT)","SUISSE",""
"","490107","1880/09/03","","4","I","CRAONNAIS ET SEGREEN (FREIGNE)","ANJOU",""
"","1120314","1880/09/19","11 h 5 min","6","I","ALPES FRIBOURGEOISES","SUISSES",""
"","520035","1880/10/10","18 h 45 min","4","B","PLATEAU DE HAUTE-SAONE (GENEVRIERES)","CHAMPAGNE",""
"","210037","1880/10/15","18 h 45 min","5","C","PLAINE DE HAUTE-BOURGOGNE (LAMARCHE / SAONE)","BOURGOGNE",""
